year,climate_change,ocean_acidification,ozone_depletion,atmospheric_aerosol,biogeochimical_phosphore,biogeochimical_nitrogen,blue_water,green_water,land_use,genetic_diversity,fonctional_diversity,novel_entities
1928.0,304.63798165137615,3.352787292,290.8,0.05073988439306358,2.4000000000000004,2.8000000000000003,11.842857142857142,11.055172413793104,86.8,45.63583815028902,14.83363148479428,0.78
1929.0,304.9538532110092,3.351251971,290.8285714285714,0.05100578034682081,2.45,2.9000000000000004,11.914285714285713,11.1,86.32857142857142,46.20809248554913,14.948121645796068,0.79
1930.0,305.2697247706422,3.34971665,290.85714285714283,0.05127167630057804,2.5,3.0,11.985714285714284,11.19,85.85714285714286,46.78034682080925,15.062611806797856,0.8
1931.0,305.5855963302752,3.347924475,290.8857142857143,0.05153757225433526,2.55,3.1,12.057142857142857,11.28,85.38571428571429,47.35260115606936,15.177101967799643,0.81
1932.0,305.90146788990825,3.3461323,290.9142857142857,0.05180346820809248,2.6,3.2,12.128571428571428,11.37,84.91428571428571,47.92485549132948,15.291592128801433,0.8200000000000001
1933.0,306.21733944954127,3.344340125,290.9428571428571,0.05206936416184971,2.6500000000000004,3.3000000000000003,12.2,11.459999999999999,84.44285714285715,48.49710982658959,15.406082289803221,0.8300000000000001
1934.0,306.5332110091743,3.3425479499999997,290.9714285714286,0.052335260115606935,2.7,3.4000000000000004,12.27142857142857,11.55,83.97142857142858,49.06936416184971,15.520572450805009,0.84
1935.0,306.8490825688074,3.340755775,291.0,0.05260115606936416,2.75,3.5,12.342857142857142,11.64,83.5,49.641618497109825,15.635062611806797,0.85
1936.0,307.1649541284404,3.3389636,291.0285714285714,0.052867052023121384,2.8,3.6,12.414285714285713,11.73,83.02857142857142,50.213872832369944,15.749552772808586,0.86
1937.0,307.4808256880734,3.3371714249999997,291.0571428571429,0.053132947976878606,2.85,3.7,12.485714285714284,11.82,82.55714285714285,50.786127167630056,15.864042933810374,0.87
1938.0,307.79669724770645,3.33537925,291.0857142857143,0.053398843930635834,2.9000000000000004,3.8000000000000003,12.557142857142857,11.91,82.08571428571429,51.358381502890175,15.978533094812162,0.88
1939.0,308.11256880733947,3.3335870749999996,291.1142857142857,0.05366473988439306,2.95,3.9000000000000004,12.628571428571428,12.0,81.61428571428571,51.93063583815029,16.09302325581395,0.89
1940.0,308.4284403669725,3.3317949,291.14285714285717,0.05393063583815029,3.0,4.0,12.7,11.972727272727273,81.14285714285714,52.50289017341041,16.20751341681574,0.9
1941.0,308.7443119266055,3.330105831,291.1714285714286,0.05419653179190751,3.0500000000000003,4.1000000000000005,12.68,11.945454545454545,80.67142857142858,53.07514450867052,16.322003577817526,0.91
1942.0,309.06018348623854,3.328416762,291.2,0.05446242774566474,3.1,4.2,12.66,11.918181818181818,80.2,53.64739884393064,16.436493738819316,0.92
1943.0,309.37605504587157,3.3267276929999996,291.22857142857146,0.05472832369942196,3.15,4.3,12.639999999999999,11.89090909090909,79.72857142857143,54.21965317919075,16.550983899821105,0.93
1944.0,309.6919266055046,3.325038624,291.25714285714287,0.05499421965317919,3.2,4.4,12.62,11.863636363636363,79.25714285714285,54.79190751445087,16.66547406082289,0.9400000000000001
1945.0,310.0077981651376,3.323349555,291.2857142857143,0.055260115606936416,3.25,4.5,12.6,11.836363636363636,78.78571428571428,55.36416184971098,16.77996422182468,0.9500000000000001
1946.0,310.32366972477064,3.321660486,291.3142857142857,0.05552601156069364,3.3000000000000003,4.6000000000000005,12.58,11.809090909090909,78.31428571428572,55.936416184971094,16.894454382826467,0.96
1947.0,310.63954128440366,3.3199714169999996,291.34285714285716,0.055791907514450866,3.35,4.7,12.56,11.781818181818181,77.84285714285714,56.50867052023121,17.008944543828257,0.97
1948.0,310.9554128440367,3.318282348,291.37142857142857,0.05605780346820809,3.4000000000000004,4.800000000000001,12.54,11.754545454545454,77.37142857142857,57.080924855491325,17.123434704830046,0.98
1949.0,311.2712844036697,3.316593279,291.4,0.056323699421965315,3.45,4.9,12.52,11.727272727272727,76.9,57.653179190751445,17.237924865831832,0.99
1950.0,311.58715596330273,3.31490421,291.42857142857144,0.05658959537572254,3.5,5.0,12.5,11.7,76.42857142857143,58.22543352601156,17.352415026833622,1.0
1951.0,311.90302752293576,3.313111223,291.45714285714286,0.05685549132947977,3.625,8.25,12.575,11.739999999999998,75.95714285714286,58.797687861271676,17.545617173524143,1.48
1952.0,312.21889908256884,3.311318236,291.48571428571427,0.05712138728323699,3.75,11.5,12.65,11.78,75.4857142857143,59.36994219653179,17.73881932021466,1.96
1953.0,312.53477064220186,3.309525249,291.51428571428573,0.05738728323699421,3.875,14.75,12.725,11.82,75.01428571428572,59.94219653179191,17.93202146690518,2.44
1954.0,312.8506422018349,3.307732262,291.54285714285714,0.05765317919075144,4.0,18.0,12.8,11.86,74.54285714285714,60.51445086705202,18.1252236135957,2.92
1955.0,313.1665137614679,3.305939275,291.57142857142856,0.05791907514450867,4.125,21.25,12.875,11.899999999999999,74.07142857142857,61.08670520231214,18.318425760286217,3.4
1956.0,313.48238532110094,3.3041462879999997,291.6,0.0581849710982659,4.25,24.5,12.95,11.94,73.6,61.65895953757225,18.511627906976738,3.88
1957.0,313.79825688073396,3.3023533009999997,291.62857142857143,0.05845086705202312,4.375,27.75,13.025,11.98,73.12857142857143,62.23121387283237,18.70483005366726,4.359999999999999
1958.0,314.114128440367,3.3005603139999997,291.65714285714284,0.05871676300578034,4.5,31.0,13.1,12.02,72.65714285714286,62.80346820809248,18.898032200357775,4.84
1959.0,315.49,3.2987673269999997,291.6857142857143,0.05898265895953757,4.625,34.25,13.175,12.059999999999999,72.18571428571428,63.3757225433526,19.091234347048296,5.32
1960.0,316.375,3.29697434,291.7142857142857,0.059248554913294796,4.75,37.5,13.25,12.1,71.71428571428572,63.947976878612714,19.284436493738813,5.8
1961.0,316.90999999999997,3.292496907,291.74285714285713,0.059514450867052024,4.875,40.75,13.325,12.14,71.24285714285715,64.52023121387283,19.477638640429333,6.279999999999999
1962.0,317.85,3.288019474,291.77142857142854,0.059780346820809245,5.0,44.0,13.4,12.18,70.77142857142857,65.09248554913295,19.670840787119854,6.76
1963.0,318.58500000000004,3.283542041,291.8,0.060046242774566466,5.125,47.25,13.475,12.219999999999999,70.3,65.66473988439306,19.86404293381037,7.24
1964.0,319.33500000000004,3.279064608,291.8285714285714,0.060312138728323694,5.25,50.5,13.55,12.26,69.82857142857142,66.23699421965318,20.05724508050089,7.72
1965.0,319.445,3.2745871749999997,291.85714285714283,0.06057803468208092,5.375,53.75,13.625,12.3,69.35714285714286,66.8092485549133,20.25044722719141,8.2
1966.0,320.395,3.270109742,291.8857142857143,0.06084393063583815,5.5,57.0,13.7,12.34,68.88571428571429,67.38150289017341,20.44364937388193,8.68
1967.0,322.05,3.265632309,291.9142857142857,0.06110982658959537,5.625,60.25,13.775,12.379999999999999,68.41428571428571,67.95375722543352,20.63685152057245,9.16
1968.0,322.645,3.261154876,291.9428571428571,0.0613757225433526,5.75,63.5,13.85,12.42,67.94285714285715,68.52601156069365,20.830053667262966,9.64
1969.0,323.83000000000004,3.256677443,291.9714285714286,0.06164161849710982,5.875,66.75,13.925,12.46,67.47142857142858,69.09826589595376,21.023255813953487,10.12
1970.0,324.97,3.25220001,292.0,0.06190751445086705,6.0,70.0,14.0,12.5,67.0,69.67052023121387,21.216457960644007,10.6
1971.0,326.03499999999997,3.246537083,291.5,0.06217341040462428,6.125,75.5,14.0,12.36,66.85,70.24277456647398,21.409660107334524,11.08
1972.0,326.775,3.2408741560000003,291.0,0.0624393063583815,6.25,81.0,14.0,12.22,66.7,70.81502890173411,21.602862254025045,11.559999999999999
1973.0,328.435,3.235211229,290.5,0.06270520231213872,6.375,86.5,14.0,12.08,66.55,71.38728323699422,21.796064400715565,12.04
1974.0,329.385,3.229548302,290.0,0.06297109826589595,6.5,92.0,14.0,11.940000000000001,66.4,71.95953757225433,21.989266547406082,12.52
1975.0,330.695,3.223885375,289.5,0.06323699421965318,6.625,97.5,14.0,11.8,66.25,72.53179190751445,22.182468694096602,13.0
1976.0,331.69500000000005,3.218222448,289.0,0.0635028901734104,6.75,103.0,14.16,11.933333333333334,66.1,73.10404624277457,22.33273703041145,13.48
1977.0,332.67999999999995,3.212559521,288.5,0.06376878612716763,6.875,108.5,14.32,12.066666666666668,65.95,73.67630057803468,22.4830053667263,13.959999999999999
1978.0,334.79499999999996,3.206896594,288.0,0.06403468208092486,7.0,114.0,14.48,12.200000000000001,65.8,74.2485549132948,22.633273703041148,14.44
1979.0,336.05,3.201233667,287.5,0.06430057803468209,7.125,119.5,14.64,12.333333333333334,65.65,74.82080924855491,22.783542039355996,14.92
